id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
PTOF16-KGHB-08F,aja,contact,"jonah.piovia-scott@wsu.edu, koen@springrivers.com",Rana boylii,Field,9/27/2016,1474934400,9,qPCR,1,NULL,80.1,65.7,oligonucleodide,NA,"Map in ""Pit 4 Schematic Breeding Sites 2015.jpg""",Pit4,1,Pit,Shasta,NNC,NA,NA,NA,NA,NA,NA,F,A,51.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
3525,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/7/2018,1525651200,5,qPCR,NULL,1,NULL,64,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,54,20,NA,N,9.82E+14,NA,663972,4424471,NA,NA
IDR270,IDR,contact,irussell@ucsb.edu,Rana boylii,Field,7/27/2019,July,7,qPCR,1,NULL,0.998267667,59.89606,NA,NA,mckinley_creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,M,A,51,16,NA,NA,NULL,NA,NULL,NULL,NA,NA
722,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,1,NULL,NULL,54.8346858,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,61,25.3,NA,Y,9.00043E+14,NA,446127,4399200,NA,NA
SKS162,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,9/11/2015,1441929600,9,qPCR,1,NULL,0.7878912,47.273472,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,27,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
4300,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,47,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,57,25,NA,N,9.82E+14,NA,662979,4425202,NA,NA
AAS522,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,8/8/2014,1407456000,8,qPCR,1,NULL,0.771106482,46.26638892,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,47.1,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
5741,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/21/2019,1561075200,6,qPCR,NULL,1,NULL,43.71,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,F,A,58,24,NA,NA,NULL,NA,637534,4412493,NA,NA
724,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/19/2018,July,7,qPCR,1,NULL,NULL,38.0177226,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,14.1,NA,NA,NULL,NA,446319,4399375,NA,NA
882,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2019,July,7,qPCR,1,NULL,NULL,37.5038095,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,47,10.7,NA,NA,NULL,NA,445980,4399142,NA,NA
1013,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/22/2019,August,8,qPCR,1,NULL,NULL,25.0490366,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,43,8.2,NA,NA,NULL,NA,446187,4399290,NA,NA
829,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2018,July,7,qPCR,1,NULL,NULL,23.6521256,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,U,NA,41,8.2,NA,Y,9.00067E+14,NA,446784,4399488,NA,NA
1273,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/6/2020,August,8,qPCR,1,NULL,NULL,21.6307971,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,66,31.6,NA,Y,9.00067E+14,NA,446357,4399335,NA,NA
1021,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/22/2019,August,8,qPCR,1,NULL,NULL,17.3023469,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,62,31.3,NA,Y,9.00067E+14,NA,446285,4399361,NA,NA
757,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,1,NULL,NULL,16.1430685,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,53,16.6,NA,NA,NULL,NA,446000,4399172,NA,NA
IDR634,IDR,contact,irussell@ucsb.edu,Rana boylii,Field,9/5/2019,September,9,qPCR,1,NULL,0.2036,12.216,NA,NA,cold_creek_cooler_site,Stebbins,NA,cold creek,Solano,NNC,NA,NA,NA,NA,NA,NA,U,J,27.5,2.5,NA,NA,NULL,NA,NULL,NULL,NA,NA
4218,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/6/2018,1528243200,6,qPCR,NULL,1,NULL,0,NA,NA,Bean Lower,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,50,23,NA,Y,106,NA,663350,4426550,NA,NA
4220,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/18/2018,1529280000,6,qPCR,NULL,1,NULL,0,NA,NA,Bean Culvert to Tributary,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,31,5,NA,NA,777,NA,663524,4425873,NA,NA
3823,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/18/2018,1526601600,5,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,A,36,NA,NA,NA,777,NA,637411,4412290,NA,NA
4330,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/20/2018,1534723200,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4331,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/20/2018,1534723200,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4332,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/20/2018,1534723200,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4333,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/20/2018,1534723200,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4334,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/20/2018,1534723200,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4336,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/17/2018,1534464000,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4337,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/17/2018,1534464000,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4338,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/17/2018,1534464000,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
4339,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/17/2018,1534464000,8,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,U,T,NA,NA,NA,NA,777,NA,637414,4412274,NA,NA
3612,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/28/2018,1535414400,8,qPCR,NULL,1,NULL,0,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,26,2,NA,N,777,NA,669379,4423697,NA,NA
3613,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/28/2018,1535414400,8,qPCR,NULL,1,NULL,0,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,24,2,NA,N,777,NA,669379,4423697,NA,NA
4268,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,10/14/2018,1539475200,10,qPCR,NULL,1,NULL,0,NA,NA,South Fork Feather River,SF Feather,2,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,M,A,57,24,NA,NA,777,NA,654354,4380021,NA,NA
3818,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/18/2018,1526601600,5,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,M,A,54,21,NA,NA,888,NA,637416,4412259,NA,NA
3819,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/18/2018,1526601600,5,qPCR,NULL,1,NULL,0,NA,NA,Cresta Reach,Cresta,1,Feather,Butte,NFR,NA,NA,NA,NA,NA,NA,M,A,48,14,NA,NA,888,NA,637417,4412250,NA,NA
6487,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,4/19/2020,April,4,qPCR,NULL,1,NULL,0,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,34,4,NA,N,888,NA,NULL,NULL,NA,NA
3616,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/28/2018,1535414400,8,qPCR,NULL,1,NULL,0,NA,NA,Spanish Creek,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,NA,NA,NA,N,999,NA,669416,4423892,NA,NA
4207,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/15/2018,1526342400,5,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek Upper Tributary,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,62,54,NA,Y,48265082,NA,663049,4427638,NA,NA
7486,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/3/2020,September,9,qPCR,NULL,1,NULL,0,NA,NA,BEAN_C2T,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,67,51,NA,Y,48265082,NA,NULL,NULL,NA,NA
1457,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,71,45,NA,NA,48267578,NA,662863,4427502,NA,NA
7488,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/3/2020,September,9,qPCR,NULL,1,NULL,0,NA,NA,BEAN_C2T,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,61,43,NA,Y,48271065,NA,NULL,NULL,NA,NA
7537,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/25/2020,August,8,qPCR,NULL,1,NULL,0,NA,NA,BEAN_C2T,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,67,43,NA,Y,48271065,NA,NULL,NULL,NA,NA
1452,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,70,45,NA,NA,48271065,NA,662860,4427407,NA,NA
1458,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,46,11,NA,NA,48278818,NA,662863,4427502,NA,NA
1455,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,66,44,NA,NA,48292840,NA,662860,4427407,NA,NA
1449,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,53,18,NA,NA,48295865,NA,662844,4427343,NA,NA
4341,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/11/2019,1557532800,5,qPCR,NULL,1,NULL,0,NA,NA,Spanish Creek BP,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,64,45,NA,Y,839297799,NA,663901,4424635,NA,NA
7489,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/3/2020,September,9,qPCR,NULL,1,NULL,0,NA,NA,BEAN_C2T,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,62,43,NA,Y,839297799,NA,NULL,NULL,NA,NA
7533,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/25/2020,August,8,qPCR,NULL,1,NULL,0,NA,NA,BEAN_C2T,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,67,42,NA,Y,839297799,NA,NULL,NULL,NA,NA
1451,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,57,27,NA,NA,839297799,NA,662846,4427361,NA,NA
1450,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/11/2016,1470873600,8,qPCR,NULL,1,NULL,0,NA,NA,Bean Creek,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,66,36,NA,NA,839314769,NA,662847,4427356,NA,NA
951,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/19/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,63,24.6,NA,Y,9.00043E+14,NA,446362,4399340,NA,NA
712,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,61,27.4,NA,Y,9.00043E+14,NA,446363,4399344,NA,NA
714,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,62,25.1,NA,Y,9.00043E+14,NA,446233,4399313,NA,NA
1209,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/25/2020,June,6,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,55,16.8,NA,Y,9.00043E+14,NA,446068,4399200,NA,NA
716,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,49,13.4,NA,Y,9.00043E+14,NA,446353,4399341,NA,NA
980,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/20/2019,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,52,18.3,NA,Y,9.00043E+14,NA,446353,4399343,NA,NA
965,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/19/2019,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,56,15.2,NA,Y,9.00043E+14,NA,446354,4399344,NA,NA
863,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/15/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,49,12.5,NA,Y,9.00043E+14,NA,445968,4399141,NA,NA
720,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/20/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,49,12,NA,Y,9.00043E+14,NA,446085,4399195,NA,NA
721,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,12.1,NA,Y,9.00043E+14,NA,446308,4399358,NA,NA
868,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/15/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,13.7,NA,Y,9.00043E+14,NA,446327,4399356,NA,NA
974,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/20/2019,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,63,25,NA,Y,9.00043E+14,NA,446130,4399207,NA,NA
723,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,60,22.6,NA,Y,9.00043E+14,NA,446761,4399470,NA,NA
894,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,51,23.2,NA,Y,9.00043E+14,NA,446778,4399479,NA,NA
910,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,48,12,NA,Y,9.00043E+14,NA,446108,4399174,NA,NA
963,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/19/2019,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,53,14.6,NA,Y,9.00043E+14,NA,446267,4399307,NA,NA
903,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,52,13.3,NA,Y,9.00043E+14,NA,446268,4399331,NA,NA
1173,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/22/2020,June,6,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,51,14.8,NA,Y,9.00043E+14,NA,446268,4399358,NA,NA
727,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,13.9,NA,Y,9.00043E+14,NA,446278,4399330,NA,NA
744,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,67,34,NA,Y,9.00043E+14,NA,446638,4399430,NA,NA
871,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/15/2019,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,68,36.5,NA,Y,9.00043E+14,NA,446639,4399430,NA,NA
750,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/17/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,46,13,NA,Y,9.00043E+14,NA,446193,4399304,NA,NA
1036,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/23/2019,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,66,42,NA,Y,9.00043E+14,NA,446136,4399238,NA,NA
1172,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/22/2020,June,6,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,69,32.9,NA,Y,9.00043E+14,NA,446142,4399233,NA,NA
1242,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/3/2020,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,50,13.3,NA,Y,9.00043E+14,NA,445917,4399119,NA,NA
755,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/18/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,40,6.8,NA,Y,9.00043E+14,NA,446346,4399354,NA,NA
973,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/20/2019,August,8,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,54,12.2,NA,Y,9.00043E+14,NA,446106,4399186,NA,NA
762,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2018,July,7,qPCR,0,1,NULL,0,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,51,13.5,NA,Y,9.00043E+14,NA,446412,4399386,NA,NA
